"","breaks","counts","prob","cum_prob"
"46",-0.9,68,0.0133202742409403,0.144760039177277
"47",-0.8,64,0.0125367286973555,0.157296767874633
"48",-0.7,91,0.0178256611165524,0.175122428991185
"49",-0.6,101,0.0197845249755142,0.194906953966699
"50",-0.5,89,0.01743388834476,0.212340842311459
"51",-0.4,106,0.0207639569049951,0.233104799216454
"52",-0.3,89,0.01743388834476,0.250538687561215
"53",-0.2,96,0.0188050930460333,0.269343780607248
"54",-0.0999999999999996,96,0.0188050930460333,0.288148873653281
"55",0,99,0.0193927522037218,0.307541625857003
"56",0.0999999999999996,101,0.0197845249755142,0.327326150832517
"57",0.2,95,0.0186092066601371,0.345935357492654
"58",0.3,132,0.0258570029382958,0.37179236043095
"59",0.4,144,0.02820763956905,0.4
"60",0.5,150,0.029382957884427,0.429382957884427
"61",0.6,141,0.0276199804113614,0.457002938295788
"62",0.7,146,0.0285994123408423,0.485602350636631
"63",0.8,176,0.0344760039177277,0.520078354554358
"64",0.9,146,0.0285994123408423,0.548677766895201
"65",1,148,0.0289911851126347,0.577668952007835
"66",1.1,159,0.0311459353574927,0.608814887365328
"67",1.2,123,0.0240940254652302,0.632908912830558
"68",1.3,135,0.0264446620959843,0.659353574926543
"69",1.4,124,0.0242899118511263,0.683643486777669
"70",1.5,114,0.0223310479921645,0.705974534769834
"71",1.6,122,0.023898139079334,0.729872673849167
"72",1.7,98,0.0191968658178257,0.749069539666993
"73",1.8,118,0.0231145935357493,0.772184133202742
"74",1.9,94,0.0184133202742409,0.790597453476983
"75",2,103,0.0201762977473066,0.81077375122429
"76",2.1,112,0.0219392752203722,0.832713026444662
"77",2.2,73,0.0142997061704212,0.847012732615083
"78",2.3,72,0.014103819784525,0.861116552399608
"79",2.4,82,0.0160626836434868,0.877179236043095
"80",2.5,66,0.0129285014691479,0.890107737512243
"81",2.6,73,0.0142997061704212,0.904407443682664
"82",2.7,60,0.0117531831537708,0.916160626836435
"83",2.8,59,0.0115572967678746,0.927717923604309
"84",2.9,41,0.00803134182174339,0.935749265426053
"85",3,38,0.00744368266405485,0.943192948090108
"86",3.1,34,0.00666013712047013,0.949853085210578
"87",3.2,42,0.00822722820763957,0.958080313418217
"88",3.3,46,0.00901077375122429,0.967091087169442
"89",3.4,25,0.00489715964740451,0.971988246816846
"90",3.5,11,0.00215475024485798,0.974142997061704
"91",3.6,20,0.0039177277179236,0.978060724779628
"92",3.7,19,0.00372184133202742,0.981782566111655
"93",3.8,9,0.00176297747306562,0.983545543584721
"94",3.9,10,0.0019588638589618,0.985504407443683
"95",4,4,0.000783545543584721,0.986287952987267
"96",4.1,4,0.000783545543584721,0.987071498530852
"97",4.2,7,0.00137120470127326,0.988442703232125
"98",4.3,5,0.000979431929480901,0.989422135161606
"99",4.4,6,0.00117531831537708,0.990597453476983
"100",4.5,1,0.00019588638589618,0.99079333986288
"101",4.6,4,0.000783545543584721,0.991576885406464
"102",4.7,5,0.000979431929480901,0.992556317335945
"103",4.8,7,0.00137120470127326,0.993927522037218
"104",4.9,7,0.00137120470127326,0.995298726738492
"105",5,1,0.00019588638589618,0.995494613124388
"106",5.1,4,0.000783545543584721,0.996278158667973
"107",5.2,3,0.000587659157688541,0.996865817825661
"108",5.3,1,0.00019588638589618,0.997061704211557
"109",5.4,1,0.00019588638589618,0.997257590597453
"110",5.5,3,0.000587659157688541,0.997845249755142
"111",5.6,2,0.00039177277179236,0.998237022526934
"112",5.7,0,0,0.998237022526934
"113",5.8,1,0.00019588638589618,0.998432908912831
"114",5.9,1,0.00019588638589618,0.998628795298727
"115",6,1,0.00019588638589618,0.998824681684623
"116",6.1,1,0.00019588638589618,0.999020568070519
"117",6.2,0,0,0.999020568070519
"118",6.3,0,0,0.999020568070519
"119",6.4,0,0,0.999020568070519
"120",6.5,0,0,0.999020568070519
"121",6.6,0,0,0.999020568070519
"122",6.7,1,0.00019588638589618,0.999216454456415
"123",6.8,0,0,0.999216454456415
"124",6.9,0,0,0.999216454456415
"125",7,1,0.00019588638589618,0.999412340842311
